labels,gonzalez_alegre_pilot_09_passive,gonzalez_alegre_pilot_09_active,gonzalez_alegre_pilot_13_passive,gonzalez_alegre_pilot_13_active,gonzalez_alegre_pilot_11_passive,gonzalez_alegre_pilot_11_active,gonzalez_alegre_pilot_08_passive,gonzalez_alegre_pilot_08_active,gonzalez_alegre_pilot_05_passive,gonzalez_alegre_pilot_05_active,gonzalez_alegre_pilot_06_passive,gonzalez_alegre_pilot_06_active,gonzalez_alegre_pilot_10_passive,gonzalez_alegre_pilot_10_active,gonzalez_alegre_pilot_07_passive,gonzalez_alegre_pilot_07_active,gonzalez_alegre_pilot_12_passive,gonzalez_alegre_pilot_12_active
54,0.771758977480219,0.83699151302312,0.776127926898915,0.809690601284296,0.614587189929656,0.634029441971927,0.660370994940978,0.672073342736248,0.86019507663725,0.919214970333181,0.792590142242805,0.821775761503564,0.752380952380952,0.72210953346856,0.881057268722467,0.905919359450958,0.74012474012474,0.868703550784475
58,0.539162112932605,0.617940199335548,0.711585866885785,0.7417004048583,0.297584541062802,0.405797101449275,0.507103825136612,0.148502994011976,0.806954436450839,0.747361013370866,0.438026474127557,0.599250936329588,0.827177700348432,0.790992258972554,0.714579055441478,0.751269035532995,0.566787003610108,0.497257769652651
60,0.753601908782234,0.839277772836432,0.829253303287924,0.807254323070434,0.521273818846254,0.550376707955561,0.86324598106144,0.835303214404065,0.885057471264368,0.906355140186916,0.844873734435005,0.847050512186507,0,0,0.827127659574468,0.879158903380357,0.620766240977235,0.844643099011242
62,0,0.153846153846154,0,0.153846153846154,0,0,0.272727272727273,0,0.307692307692308,0.297872340425532,0.31578947368421,0.615384615384615,0.595548733691481,0.515129151291513,0.363636363636364,0.588235294117647,0,0.222222222222222
63,0.419379258137774,0.47289972899729,0.505850585058506,0.51685393258427,0.064220183486239,0.128296507483963,0.673854447439353,0.62952380952381,0.731751007613077,0.818097014925373,0.751714677640604,0.724665391969407,0,0,0.617810760667904,0.623676612127045,0.279308734236338,0.650186567164179
77,0.185053380782918,0.213046495489243,0.297176820208024,0.313953488372093,0.037073170731707,0.026973423244744,0.072840203274986,0.051797040169133,0.447442736115469,0.447963800904977,0.404134971718354,0.336168639053254,0.240613026819923,0.136363636363636,0.482227488151659,0.537193111029681,0.299511665762344,0.518958803033409
85,0.345631067961165,0.446680080482897,0.502564102564103,0.405479452054794,0.158823529411765,0.083798882681564,0.34375,0.218045112781955,0.654205607476636,0.898488120950324,0.462385321100918,0.299625468164794,0.515337423312883,0.459016393442623,0.56043956043956,0.741573033707865,0.34054054054054,0.577981651376147
251,0.874125874125874,0.887896825396825,0.859940400170285,0.860982780344393,0.359154929577465,0.509843513377082,0.579881656804734,0.55264564404062,0.953980517299295,0.941900205058099,0.431646305991856,0.703239289446186,0.899322362052275,0.775757575757576,0.796278158667973,0.883766552231486,0.517270429654591,0.260517799352751
252,0.730483271375465,0.804085422469824,0.786666666666667,0.783873099801718,0.302834008097166,0.408304498269896,0.411099691675231,0.371069182389937,0.87655601659751,0.908711528429838,0.199004975124378,0.554536187563711,0.888466413181242,0.811630847029077,0.673721340388007,0.831314072693383,0.549019607843137,0.206474190726159
253,0.847501622323167,0.833957553058677,0.805117270788913,0.798803929944468,0.348148148148148,0.466058763931104,0.492485549132948,0.436730123180291,0.920254057868737,0.876673713883016,0.393980848153215,0.553299492385787,0.840782122905028,0.822040208488459,0.735005452562704,0.857772877618523,0.57660626029654,0.289340101522843
254,0.764835164835165,0.769687964338782,0.808998676665196,0.714870395634379,0.406445837063563,0.394534585824082,0.488567990373045,0.425480769230769,0.86126526082131,0.925446703635243,0.484931506849315,0.540803897685749,0.720706260032103,0.740924092409241,0.716351501668521,0.810810810810811,0.544137022397892,0.481152993348115
255,0.879345603271984,0.857293868921776,0.808337569903406,0.733333333333333,0.502392344497608,0.37410071942446,0.536585365853659,0.517096580683863,0.90381679389313,0.917525773195876,0.720357941834452,0.608042895442359,0.869959677419355,0.834170854271357,0.740932642487047,0.871134020618557,0.796130952380952,0.647435897435897
